step	post	like	prior	mu1	mu2	gamma	pi	spa1	spa2	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
20500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.505212485511846	0.000205648560150	0.000059857266715	0.291065819624279	0.140597611665730	0.000000000000000	0.000000000000000	-6	3	-3	-4	-2	4	2	-5	8	-2	-4	11	-6	-1	4	10	12	-2	1	23	7	-1	-2	-3	-1	3	-4	-2	1	2	4	0	6	2	19	-1	-2	-2	7	-3	6	0	-4	-3	1	13	-5	15	-4	-5	6	13	-5	4	-1	-2	5	11	-1	4	-5	-1	6	8	0	2	1	-1	3	15	-4	6	6	7	-5	2	-2	-4	-1	-1	-5	-6	0	3	-4	7	9	-2	9	7	10	-6	15	6	6	1	8	2	10	-4	1	1	2	6	8	1	5	-2	5	29	8	-6	4	-3	7	-3	45	65	32	0	89	0	43	28	69	73	87	59	25	75	17	38	116	30	81	92	82	22	46	65	98	84	9	43	113	71	109	52	10	12	89	58	33	12	52	66	89	110	116	58	64	4	68	65	50	61	97	33	97	55	51	53	70	104	99	90	39	13	109	25	6	32	113	99	41	13	3	29	21	39	63	60	82	24	99	114	32	18	38	29	16	75	74	99	109	68	37	33	50	25	24	83	102	81	14	2	58	12	5	18	38	68	0	114	33	0	83	103	78	2	0	64	4	2	2	1	3	1	3	12	1	13	1	1	2	1	2	9	6	3	2	12	11	13	2	11	5	1	9	12	6	12	10	14	4	7	2	15	15	15	2	3	10	16	2	15	15	12	14	9	6	3	14	7	4	5	4	13	13	9	12	16	15	7	6	12	14	7	13	7	1	9	16	10	12	7	16	10	14	10	2	10	16	11	2	8	8	11	8	2	2	15	6	14	5	17	15	14	17	1	13	1	9	5	13	8	10	15	1	5	14	1	18	13	11	5	1	13
21000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.532151612088964	0.000191694975717	0.000052547273273	0.274119199402130	0.120394941850409	0.000000000000000	0.000000000000000	6	4	2	-5	-3	6	1	4	0	10	-5	-6	-4	-2	10	3	0	10	1	-2	-2	4	4	3	2	0	-4	-6	-5	2	-3	-5	12	-5	10	8	2	3	1	11	2	6	2	2	-6	-3	0	5	3	4	-1	-3	9	1	9	-2	1	1	-1	3	1	16	-4	11	13	-4	0	-6	2	9	-2	5	-4	4	22	2	15	20	3	9	-2	8	10	17	-5	-3	21	2	-1	-3	-6	-5	4	6	9	-6	-1	0	-5	-2	1	-3	-2	3	6	4	30	-4	17	24	-3	5	5	17	15	2	1	100	58	0	97	0	64	39	95	34	111	5	82	97	93	4	19	113	6	7	45	85	73	3	112	91	97	89	33	40	26	92	11	106	101	45	32	74	103	23	58	21	82	8	87	115	45	58	102	110	91	28	107	57	114	59	47	17	9	46	12	65	83	55	24	60	10	2	87	18	83	43	85	79	53	89	9	39	108	107	83	25	113	108	46	114	16	116	95	42	82	47	9	75	112	16	93	1	23	36	98	24	1	54	113	107	0	22	57	0	51	73	56	67	0	61	1	3	4	1	5	1	1	1	1	10	5	11	3	13	3	12	7	8	2	7	13	3	1	5	8	10	3	12	8	12	6	9	3	10	8	15	15	15	4	3	5	16	5	15	15	12	10	1	5	3	8	8	10	11	8	3	3	14	13	16	15	13	16	5	14	12	13	5	7	9	16	11	11	4	16	12	14	9	3	11	16	11	7	4	3	3	8	10	4	15	10	14	2	17	15	14	17	14	12	7	10	6	13	1	10	12	1	8	14	1	18	13	3	13	1	13
21500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.527430089435503	0.000208508634338	0.000057739486908	0.276916527181496	0.102987929597379	0.000000000000000	0.000000000000000	-4	-1	3	3	4	11	10	7	6	-2	5	15	7	4	0	5	-5	6	-5	4	7	9	6	-4	-4	13	1	4	5	12	-3	10	-6	-3	6	-5	0	11	6	6	-5	0	7	-2	13	-1	14	2	-3	0	5	1	6	23	1	-1	4	16	0	3	7	-5	13	5	4	9	-1	-2	8	2	-3	9	-3	-6	-4	7	11	5	-6	1	3	14	0	2	-3	0	-6	7	21	3	10	1	5	-3	6	8	12	-4	4	2	13	-5	5	14	7	-4	23	12	0	27	1	0	14	-4	23	4	100	11	87	0	100	0	99	99	106	86	38	12	66	93	70	78	107	70	5	22	43	56	25	63	40	79	6	19	4	97	7	115	110	82	102	103	61	42	67	101	81	94	33	82	27	90	19	100	61	74	108	44	4	115	101	103	29	115	67	5	24	18	54	14	11	47	38	31	15	3	74	28	59	4	100	104	90	81	103	88	101	101	64	107	55	9	76	12	97	73	31	20	57	41	4	60	107	14	113	114	72	27	90	34	32	43	0	35	77	0	77	57	112	91	0	40	3	2	4	1	5	1	1	6	5	1	10	11	9	13	11	14	4	10	5	7	13	8	3	6	10	13	7	12	14	8	7	9	10	2	8	15	15	6	7	15	4	10	10	15	7	1	5	13	12	1	2	15	15	11	1	1	13	11	5	16	15	11	16	9	14	6	13	4	3	8	16	9	5	11	3	5	6	4	5	6	16	9	5	14	7	10	15	1	9	15	5	11	1	17	13	14	17	8	10	4	7	6	13	10	1	3	1	10	14	1	18	2	3	13	1	13
22000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.478582309848715	0.000222418532174	0.000069093180023	0.310644888028329	0.118969836503452	0.000000000000000	0.000000000000000	1	9	4	0	2	8	-3	13	9	1	-6	5	-6	-1	-6	1	-3	7	-5	-4	4	-2	2	4	8	3	6	-3	8	8	-6	0	3	-1	1	-1	-1	8	-3	10	4	0	-3	-2	3	16	-6	3	3	-2	-3	-1	-1	4	1	1	4	13	8	-6	-2	-2	1	2	1	-2	0	17	7	4	9	0	-1	5	1	-4	2	-6	4	6	2	-5	8	-4	3	0	6	0	4	3	-1	-3	-3	17	10	4	6	3	-6	2	1	1	11	-3	-1	5	28	3	11	28	10	-4	4	-6	10	-5	63	82	101	0	29	0	4	31	76	92	82	82	21	70	7	4	67	49	64	102	100	22	100	80	34	44	2	96	62	113	74	107	19	81	63	66	64	73	51	7	112	81	46	82	79	49	35	76	30	5	25	107	50	10	12	48	38	98	89	91	59	45	100	68	86	107	58	40	111	34	31	92	114	63	27	110	56	58	74	31	14	42	114	54	29	90	68	57	84	7	5	105	75	85	113	76	70	52	70	20	48	55	9	5	33	6	0	45	115	0	42	70	18	29	0	45	6	1	1	1	3	1	7	12	8	5	10	10	6	6	5	14	2	2	9	9	1	3	6	10	4	3	10	1	14	4	3	13	1	2	6	15	15	1	3	15	2	12	8	15	5	10	5	13	11	4	6	15	15	11	5	13	13	10	4	16	15	9	16	4	14	8	13	3	9	5	16	7	11	11	8	9	1	9	9	1	16	11	10	9	4	7	15	1	12	15	6	11	9	17	5	14	17	6	8	12	11	6	13	4	2	11	1	3	14	1	18	14	1	13	1	7
22500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.451156318236266	0.000212042003823	0.000071022723595	0.334946483785456	0.151982237369036	0.000000000000000	0.000000000000000	-5	-2	-3	1	12	11	10	7	5	5	-5	-5	-2	-2	7	6	12	7	-5	8	11	5	7	-4	2	-4	13	4	4	-5	-5	13	3	3	3	-1	-5	7	2	6	5	5	-2	-6	6	6	-2	13	7	2	12	-1	-3	-5	6	11	5	12	4	11	11	2	3	2	9	2	13	9	5	5	4	8	10	-6	-3	-1	1	5	-1	6	0	5	14	-4	4	-4	7	16	-4	2	0	4	0	-2	18	2	20	0	-5	7	0	13	-3	-5	11	13	29	0	-3	21	6	-2	1	2	22	8	44	6	56	0	72	0	63	44	5	11	7	78	66	50	55	4	33	101	75	51	6	7	41	54	1	83	107	33	94	8	1	41	33	58	108	114	98	93	59	94	91	39	45	103	39	52	59	100	27	97	67	102	92	50	80	47	76	95	29	65	56	4	79	11	52	70	70	108	68	28	77	38	105	54	2	110	28	93	55	62	116	105	6	58	50	88	49	106	36	56	8	109	20	69	115	56	30	13	14	36	107	20	38	54	64	100	0	18	106	0	37	107	14	36	0	65	5	4	2	1	9	1	3	8	4	5	5	2	7	5	8	14	4	7	3	6	9	1	4	5	5	3	10	8	14	5	12	7	9	3	2	15	15	7	6	15	11	12	1	15	2	8	9	7	9	9	2	15	15	11	5	13	1	7	6	16	15	7	16	3	14	1	13	11	5	4	13	1	11	11	5	11	5	9	3	8	16	7	13	2	4	5	15	4	12	15	3	9	8	17	4	14	17	11	2	9	11	7	1	3	11	10	1	14	14	1	18	14	4	13	1	3
23000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.427668835603066	0.000202186991891	0.000072942804477	0.360769027694731	0.142427294571861	0.000000000000000	0.000000000000000	-6	-2	-6	1	7	0	1	0	6	13	-5	2	7	9	-2	2	2	5	-6	9	2	15	-4	-1	-5	13	-5	-3	7	1	-3	-1	3	5	15	-5	14	13	-1	10	-1	-6	0	-5	3	6	-4	0	-1	0	-4	-6	1	-3	-4	1	10	2	5	1	9	-4	-1	-1	8	-6	2	-4	13	2	9	12	-6	5	3	8	5	2	3	-5	-5	2	15	-4	8	-1	8	-5	-5	-1	11	8	4	-3	8	-3	-3	8	3	9	-4	0	20	3	-1	-4	21	17	8	-6	6	-3	5	13	6	-6	42	16	12	0	50	0	9	114	78	59	42	99	112	105	96	73	102	80	16	104	107	35	1	34	89	30	41	57	72	98	56	93	4	63	11	101	37	23	68	71	62	52	40	12	105	97	113	107	111	17	14	73	82	27	104	9	14	4	41	18	65	13	90	23	100	44	58	102	73	14	41	97	24	104	40	51	53	49	68	51	42	46	28	109	18	12	8	71	109	2	38	7	71	42	90	83	85	84	93	54	46	63	107	100	82	53	0	106	78	0	73	63	25	29	0	102	2	4	3	1	2	1	9	1	9	3	3	1	12	5	10	14	6	10	10	1	9	11	12	2	3	1	9	13	14	14	5	4	7	2	10	15	15	8	2	3	12	8	4	15	7	5	9	9	1	5	1	15	15	11	8	11	6	1	7	16	15	5	16	5	5	3	13	2	10	4	13	11	6	9	1	4	10	10	7	4	16	12	13	1	8	13	15	9	12	15	2	3	6	17	15	14	17	4	5	4	13	3	9	5	7	12	1	12	14	1	18	9	7	13	1	10
23500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.501316807021441	0.000186919936898	0.000054904674610	0.293733646185396	0.139168902861538	0.000000000000000	0.000000000000000	-4	0	-3	4	-4	11	4	1	-3	11	-6	14	11	11	-6	-3	-2	0	-3	1	4	5	17	7	-3	-3	2	-3	-3	-3	2	7	5	4	7	1	11	10	-4	16	12	0	-6	-4	13	5	8	18	-6	4	-4	3	8	12	9	1	-6	4	3	3	6	3	-2	-4	13	-3	-3	13	4	8	-2	4	0	0	5	3	2	1	0	17	-5	5	-4	-6	-4	0	2	-5	9	1	-6	13	10	17	-6	-1	14	1	2	-2	0	-4	22	-3	1	0	16	9	1	-4	14	16	3	1	12	9	7	18	109	0	98	0	89	46	86	69	31	104	33	91	88	76	81	44	51	2	65	51	107	16	95	13	38	75	71	116	29	91	10	20	113	52	37	17	22	79	33	65	9	2	59	92	9	92	77	8	19	26	54	98	5	53	65	90	33	64	12	68	111	82	16	2	10	13	68	49	106	56	53	104	44	45	55	65	100	14	65	69	44	82	22	57	87	96	35	14	9	53	65	64	45	75	72	46	75	53	22	95	107	1	73	10	0	26	71	0	91	58	107	1	0	36	2	1	1	1	1	1	3	4	5	2	8	2	3	8	5	3	6	6	5	4	1	7	8	1	10	10	12	13	14	14	1	8	6	1	3	15	15	6	12	2	4	6	8	15	9	9	10	6	1	6	7	15	2	11	7	5	7	10	9	16	15	5	16	11	3	3	13	9	2	11	13	9	9	7	8	2	5	17	7	2	16	12	5	7	13	10	15	2	12	14	6	6	9	17	15	14	17	3	1	13	13	12	9	12	8	5	1	15	14	1	18	5	4	13	1	6
24000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.534190471718520	0.000209866464717	0.000057279236084	0.272931819579894	0.137535656949242	0.000000000000000	0.000000000000000	5	0	2	-5	-1	-5	8	-3	3	-6	-6	6	-3	5	5	-6	-5	-3	0	13	7	6	14	-6	4	9	-5	11	3	6	8	9	-5	5	1	7	14	10	0	5	-2	-6	4	-4	-1	-2	10	-1	-2	-4	-5	-1	-2	6	18	-2	1	-6	-3	1	-4	0	-6	4	-6	-5	-5	4	3	1	-3	-4	7	3	5	3	13	2	-2	9	12	-1	-1	-2	-3	4	8	7	12	16	8	19	-1	-6	-4	4	6	1	4	10	13	-6	0	9	-1	0	9	5	-1	7	1	7	-1	7	7	19	49	48	97	0	31	0	18	49	27	81	74	60	2	112	42	44	21	93	63	45	61	81	30	110	89	113	1	49	92	76	72	67	10	49	93	107	37	34	54	111	35	73	81	50	32	6	26	50	48	38	99	59	3	45	17	58	65	47	83	33	103	99	19	72	94	114	31	4	71	26	4	104	114	108	54	50	75	47	64	60	105	62	60	63	114	21	15	21	93	47	1	42	3	83	72	103	111	85	42	21	68	111	65	34	116	65	0	21	4	0	93	14	28	22	0	113	1	4	4	1	1	1	6	7	10	9	6	1	3	10	5	2	9	1	10	10	3	9	2	7	5	1	7	13	8	14	2	5	8	2	3	15	15	13	6	7	12	5	7	15	5	5	3	6	12	3	4	15	6	6	10	15	10	9	8	16	15	9	16	1	1	12	10	13	14	11	13	3	11	7	12	7	2	17	13	5	16	12	3	6	13	11	15	8	12	14	9	1	2	17	15	14	17	12	7	13	13	5	16	10	2	9	1	15	8	1	18	3	5	13	1	1
24500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.477975319677582	0.000182400477586	0.000056750550131	0.311131587386516	0.103831627819639	0.000000000000000	0.000000000000000	8	2	0	-3	5	10	-1	7	-4	1	-2	-6	0	-5	3	11	13	-5	-6	4	-2	4	-6	-5	5	-4	-3	3	-6	0	18	8	4	11	15	0	12	8	-6	7	14	-4	-2	2	12	5	-2	-3	-1	0	5	-3	-4	0	0	4	-6	3	8	2	1	2	6	6	-3	11	4	5	-2	7	0	-4	5	1	-1	-6	3	-1	1	6	8	12	11	2	5	14	0	14	3	3	9	11	6	-5	2	1	11	11	1	1	0	3	-5	-3	2	3	15	1	-3	26	-3	4	0	-5	-4	6	95	20	19	0	70	0	14	49	1	65	24	12	85	4	22	21	88	29	36	33	15	21	106	22	113	47	109	68	42	43	112	96	3	32	48	76	37	70	42	73	47	57	76	3	98	74	99	103	29	48	6	54	75	74	18	40	84	87	38	94	11	100	26	14	111	20	55	56	41	50	77	7	27	92	112	87	29	82	53	5	42	82	73	42	58	85	58	115	26	67	108	103	51	112	19	101	88	43	78	60	90	9	12	54	7	53	0	39	41	0	30	83	55	16	0	51	3	7	5	1	1	1	7	6	1	4	2	6	6	3	7	5	10	3	8	7	3	5	9	10	4	1	2	5	4	14	11	3	13	11	3	15	15	13	10	3	7	6	7	15	8	11	9	12	1	6	9	15	12	7	6	15	10	7	7	16	15	5	16	4	1	12	11	4	14	8	13	8	1	3	6	4	2	17	10	11	16	14	3	7	11	11	15	10	6	14	5	8	1	17	15	14	17	6	11	15	16	5	16	15	14	14	1	15	2	1	18	6	4	7	1	1
25000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.594813058042455	0.000212154160025	0.000051404019895	0.242295601882956	0.112781893569654	0.000000000000000	0.000000000000000	-2	4	0	1	16	-3	-1	0	3	-5	-5	4	9	-2	3	-4	3	-2	-1	9	8	-5	1	-3	-1	-3	4	16	-1	3	-4	10	-6	0	2	1	4	6	14	0	2	8	-2	-3	5	1	3	6	-4	4	-6	3	8	-5	-6	-5	-3	-6	5	-1	-3	-3	13	4	7	4	-2	9	0	0	3	5	11	14	13	5	-5	7	-6	-3	14	9	8	-4	-4	-6	-4	12	-6	9	-1	-3	1	8	-2	-5	-2	2	5	-4	3	9	1	16	17	2	6	-2	2	17	0	1	8	9	11	6	7	9	31	0	89	0	17	62	108	49	106	50	8	4	89	45	93	55	103	28	109	8	4	101	86	32	96	39	87	16	8	90	18	34	30	4	67	10	78	109	75	79	27	83	8	37	38	76	38	36	23	91	68	58	69	5	15	92	102	106	47	51	57	96	61	111	103	101	43	7	31	90	84	76	63	58	116	84	87	111	59	71	41	30	57	5	86	104	108	19	106	82	3	64	53	101	3	79	83	55	54	96	43	4	80	77	0	27	95	0	46	2	80	18	0	15	4	1	3	1	2	1	10	11	1	11	1	3	10	8	10	11	6	5	12	2	8	11	9	10	10	4	3	6	4	9	5	5	13	1	1	15	15	13	12	9	9	1	1	15	1	3	9	10	7	1	13	15	13	13	7	15	7	9	12	6	15	5	16	11	6	13	2	1	15	1	13	1	9	1	6	8	12	17	14	5	16	14	6	5	8	9	15	1	2	9	7	10	3	17	8	8	17	9	3	15	16	14	16	15	14	14	1	15	7	1	18	7	1	8	1	8
25500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.514608768983693	0.000181929132737	0.000051826341865	0.284871043383308	0.122465519231985	0.000000000000000	0.000000000000000	2	2	3	-1	3	4	0	-2	9	0	-3	9	-4	-3	-3	12	2	1	10	4	0	-6	-5	-2	5	0	3	-6	5	-2	2	7	11	-3	6	0	-1	3	2	4	2	-1	1	-5	-6	0	-5	0	-1	7	0	12	-2	-6	4	7	1	7	-6	6	3	3	2	4	1	-2	8	12	6	-2	-2	-4	6	3	-6	17	1	-4	3	9	-6	8	15	2	-1	-2	10	1	4	2	-6	3	7	1	-3	3	-1	-6	16	0	5	20	3	19	17	12	-3	11	0	26	3	10	-4	-3	26	-2	35	76	109	0	54	0	53	95	56	86	42	74	15	98	68	22	77	59	38	26	17	101	33	73	58	25	4	81	16	82	88	79	64	10	62	88	7	15	93	73	70	99	32	82	94	49	63	77	74	42	27	3	45	108	45	57	84	24	101	6	72	38	101	27	71	46	72	67	76	84	1	66	66	115	23	51	82	7	90	94	69	46	13	116	22	24	75	40	41	85	24	62	88	78	113	35	18	61	100	104	6	96	105	83	46	16	0	101	66	0	31	50	11	51	0	89	1	1	2	1	5	1	10	4	3	3	6	1	6	2	6	11	4	1	14	8	1	4	5	2	12	8	7	8	3	8	4	8	13	4	2	15	15	12	12	12	15	8	8	15	7	8	6	3	6	10	10	15	13	13	1	15	7	14	10	14	3	7	11	2	6	13	13	10	15	2	8	12	6	9	8	14	11	17	5	9	16	14	8	14	15	2	15	12	1	10	8	10	3	17	11	1	17	2	1	10	16	14	16	12	14	14	1	15	7	1	18	16	2	2	1	11
26000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.450272551274071	0.000207676191389	0.000069741888463	0.335820336440783	0.138130708593416	0.000000000000000	0.000000000000000	2	3	1	4	-3	4	2	-3	0	8	12	6	1	9	-5	5	-4	-1	1	-5	2	-1	-1	5	6	-1	6	0	-6	-5	18	6	6	7	5	-5	4	11	3	9	1	15	6	-5	2	6	-5	2	-1	-1	7	-6	-5	17	6	2	-1	3	3	8	2	-4	0	-3	14	-2	2	2	-4	8	8	4	2	13	0	3	4	-4	-1	12	3	-5	20	-1	10	-1	20	-6	0	7	8	-1	17	7	12	4	16	11	5	14	7	-2	4	20	0	-6	10	-5	-2	-4	-3	0	-1	12	21	0	37	71	71	0	41	0	5	5	41	74	9	60	102	20	79	99	112	2	66	45	57	89	54	20	22	43	18	42	5	47	74	79	65	33	73	30	17	55	89	100	112	70	5	64	106	87	6	110	99	22	112	31	87	41	40	20	66	2	61	8	48	37	96	107	52	73	4	88	112	107	30	41	42	54	4	30	91	42	110	54	46	72	83	104	44	26	52	37	111	70	59	113	91	37	54	11	95	37	51	2	27	115	58	58	61	93	0	13	104	0	62	67	64	91	0	27	5	2	5	1	5	1	10	7	4	5	6	2	2	11	3	3	2	7	8	7	7	1	2	4	12	9	2	11	10	5	7	13	13	2	11	15	15	11	5	2	15	7	1	15	3	2	11	1	1	9	14	15	7	13	2	15	9	10	15	4	5	11	5	10	10	11	13	9	15	1	6	1	11	6	11	14	2	17	8	5	16	12	7	14	15	9	15	13	4	7	4	3	7	17	7	7	17	4	11	3	16	14	16	8	14	14	1	15	1	1	11	16	11	7	1	12
26500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.501567620241861	0.000199528817240	0.000058573687785	0.293560041075625	0.153669746385582	0.000000000000000	0.000000000000000	-3	1	-6	-1	10	3	1	-5	4	5	2	-1	0	4	-6	14	0	2	3	-6	-5	-6	3	11	2	-3	14	4	-3	-2	4	-3	8	-3	-2	2	-1	9	2	1	2	8	4	4	-5	10	-3	-5	-6	14	-4	4	-3	-1	8	13	5	12	5	6	0	-5	3	-6	0	10	-4	2	-3	-2	17	-2	-1	-5	-4	5	4	-3	0	2	-1	-4	-5	-3	8	-1	11	-3	11	2	-3	-5	5	6	4	4	4	3	-2	9	-4	3	8	4	5	-1	8	9	9	-5	2	-6	11	2	13	-6	21	39	19	0	38	0	106	102	12	74	28	41	66	67	22	94	102	96	33	62	4	37	23	31	77	107	86	95	4	6	31	9	13	115	99	24	88	16	85	18	94	20	97	62	81	12	8	48	53	92	19	67	44	10	98	45	116	18	12	116	37	15	83	99	17	36	26	32	98	74	84	42	41	31	42	61	2	53	11	7	79	53	23	68	5	98	77	57	53	21	39	31	50	26	11	55	23	67	106	17	70	59	8	72	73	107	0	23	30	0	110	31	7	29	0	15	3	2	3	1	7	1	10	4	9	2	8	10	5	3	3	6	3	12	1	1	13	10	7	3	8	6	1	7	9	10	4	13	7	3	13	15	15	6	9	5	15	1	6	15	10	3	6	11	3	10	14	15	2	13	11	2	1	10	8	8	8	1	3	2	9	1	13	2	10	10	14	11	11	3	9	14	4	17	7	11	4	12	8	6	15	12	3	13	4	1	3	4	7	17	8	7	17	5	10	1	16	14	16	5	14	14	1	15	2	1	6	16	5	12	1	7
27000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.548241590550439	0.000215659906780	0.000057163858765	0.265064840369233	0.128306377268300	0.000000000000000	0.000000000000000	-3	-1	-3	-2	-5	9	8	0	12	-2	4	-1	9	4	7	2	-4	0	0	-2	-4	-4	13	10	-6	-1	2	-4	3	-5	-5	-6	3	4	4	-5	-6	-4	4	0	-3	-5	3	4	15	-5	19	8	6	-3	-2	2	0	0	10	6	2	-3	2	-5	-5	-6	-1	1	1	-3	6	4	-1	8	23	2	8	9	0	10	7	-5	7	8	-6	-4	13	2	-5	13	3	0	-1	-4	4	19	5	-6	-4	6	7	10	-3	16	0	1	1	-5	2	-6	15	2	-1	0	2	-2	15	1	32	-5	35	28	58	0	73	0	70	35	50	70	57	75	50	25	14	10	34	11	63	41	75	105	59	115	48	24	100	34	50	87	2	21	40	101	58	73	75	110	75	110	66	47	109	91	17	57	109	112	6	55	12	95	108	3	62	79	8	61	59	104	109	109	1	57	54	63	116	60	93	103	93	78	79	8	104	21	114	22	24	78	13	30	105	82	46	93	55	10	109	73	22	100	44	64	87	15	31	38	90	62	106	10	40	73	105	73	0	40	33	0	57	109	110	40	0	89	1	1	1	1	1	1	10	11	6	10	7	1	3	5	6	12	2	9	11	9	13	3	5	12	7	13	9	8	4	2	9	8	3	12	13	15	5	3	12	6	15	9	13	15	2	7	4	16	6	9	14	15	12	13	10	10	7	10	7	11	4	10	3	3	4	1	13	6	3	12	14	3	8	11	4	3	5	17	5	11	12	10	11	2	15	9	10	11	1	7	9	13	13	17	15	6	17	2	12	3	16	14	4	6	10	14	1	15	6	1	9	16	11	9	1	3
